,urban_women_averages,rural_women_averages
nursery,0.0,0.0043023970497848806
primary,0.09323583180987204,0.1604179471419791
lower secondary,0.21572212065813529,0.25752919483712355
higher secondary,0.5027422303473492,0.4585125998770744
higher,0.1809872029250457,0.11493546404425323
don't know,0.007312614259597806,0.0043023970497848806
